#Node_Name|Description|Alias_Mod|Alias_Node|Tile_String|Special_Tiles|Inv_Image|Wield_Image|Draw_Type|Vis_Scale|Wld_Scale|Param_Type|ParamType2|Place_Param2|LightSource|Walkable|Pointable|Climbable|Diggable|Buildable|Floodable|Waving|Use_Alpha|Sun_Prop|Liquid_Point|Damage_Per_Second|Grnd_Cnt|Leg_wall|MaxLight|Grow|Eat|Groups|Max_Drops|Drops|Sounds|Dig_Predict|Place_Predict|NodeBox|SelBox|ColBox|Mesh|LiquidType|LiquidViscosity|LiquidRange|LiquidRenew|LiquidAltSource|LiquidAltFlow|OnConstruct|OnTimer|TimerTrig|TimerAct|AfterPlace|OnPlace
#
#BUSHES, SHRUBS
#
#CACTII
#cactus_01_seedling||||default_large_cactus_seedling.png||||||||||||||||||||||||||||||||||||||||||||||||
cactus_column_01|Cactus - Column 01|||lib_ecology_cactus_column_01.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
cactus_column_02|Cactus - Column 02|||lib_ecology_cactus_column_02.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
cactus_globe|Cactus - Globe|||lib_ecology_cactus_globe.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
cactus_green_column|Cactus - Green Column|||lib_ecology_plant_cactus.png||||mesh|0.5||light||||||||||||||1||||||choppy 1,oddly_breakable_by_hand 1|||wood||||-0.4,-0.5,-0.4,0.4,0.5,0.4|-0.4,-0.5,-0.4,0.4,0.5,0.4|cactus.b3d||||||||||||
cactus_green_trunk|Cactus - Green Trunk|||lib_ecology_cactus_green_trunk_top.png,lib_ecology_cactus_green_trunk_top.png,lib_ecology_cactus_green_trunk.png|||||||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood||||||||||||||||||rotate
cactus_moonflower|Cactus - Moon Flower|||lib_ecology_cactus_moonflower.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
cactus_prickly_pear|Cactus - Prickly Pear|||lib_ecology_cactus_prickly_pear.png||||plantlike|4|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
cactus_purple_button|Cactus - Purple Button|||lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.25,-0.5,-0.25,0.25,0.0,0.25|-0.25,-0.5,-0.25,0.25,0.0,0.25||||||||||||||rotate
cactus_purple_column|Cactus - Purple Column|||lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.25,-0.5,-0.25,0.25,0.5,0.25|-0.25,-0.5,-0.25,0.25,0.5,0.25||||||||||||||rotate
cactus_purple_trunk|Cactus - Purple Trunk|||lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk.png|||||||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood||||||||||||||||||
cactus_small_column_01|Cactus - Small Column 01|||lib_ecology_cactus_column_01.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.0625,0.1875,-0.0625,0.0625,0.25,0.0625;-0.0625,-0.5,-0.125,0.0625,0.1875,0.125;-0.125,-0.5,-0.0625,0.125,0.1875,0.0625|-0.125,-0.5,-0.125,0.125,0.25,0.125||||||||||||||rotate
cactus_small_column_02|Cactus - Small Column 02|||lib_ecology_cactus_column_02.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.0625,0.0625,-0.0625,0.0625,0.125,0.0625;-0.0625,-0.5,-0.125,0.0625,0.0625,0.125;-0.125,-0.5,-0.0625,0.125,0.0625,0.0625;-0.0625,-0.5,-0.001,0.0625,0.0625,0.001;-0.001,-0.5,-0.0625,0.001,0.0625,0.0625|-0.125,-0.5,-0.125,0.125,0.125,0.125||||||||||||||rotate
cactus_small_globe|Cactus - Small Globe|||lib_ecology_cactus_globe.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.1875,-0.5,-0.0625,0.1875,0.125,0.0625;-0.25,-0.3125,-0.0625,0.25,0.0625,0.0625;-0.3125,-0.375,-0.0625,0.3125,0.0,0.0625;-0.125,0.125,-0.0625,0.125,0.1875,0.0625;-0.0625,0.1875,-0.0625,0.0625,0.25,0.0625|-0.3125,-0.5,-0.0625,0.3125,0.25,0.0625||||||||||||||rotate
cactus_vine|Cactus - Vine|||lib_ecology_cactus_vine.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
#
#CORALS
#
#Node_Name|Description|Alias_Mod|Alias_Node|Tile_String|Special_Tiles|Inv_Image|Wield_Image|Draw_Type|Vis_Scale|Wld_Scale|Param_Type|ParamType2|Place_Param2|LightSource|Walkable|Pointable|Climbable|Diggable|Buildable|Floodable|Waving|Use_Alpha|Sun_Prop|Liquid_Point|Damage_Per_Second|Grnd_Cnt|Leg_wall|MaxLight|Grow|Eat|Groups|Max_Drops|Drops|Sounds|Dig_Predict|Place_Predict|NodeBox|SelBox|ColBox|Mesh|LiquidType|LiquidViscosity|LiquidRange|LiquidRenew|LiquidAltSource|LiquidAltFlow|OnConstruct|OnTimer|TimerTrig|TimerAct|AfterPlace|OnPlace
#FERNS
#
#FLOWERS
#
#Node_Name|Description|Alias_Mod|Alias_Node|Tile_String|Special_Tiles|Inv_Image|Wield_Image|Draw_Type|Vis_Scale|Wld_Scale|Param_Type|ParamType2|Place_Param2|LightSource|Walkable|Pointable|Climbable|Diggable|Buildable|Floodable|Waving|Use_Alpha|Sun_Prop|Liquid_Point|Damage_Per_Second|Grnd_Cnt|Leg_wall|MaxLight|Grow|Eat|Groups|Max_Drops|Drops|Sounds|Dig_Predict|Place_Predict|NodeBox|SelBox|ColBox|Mesh|LiquidType|LiquidViscosity|LiquidRange|LiquidRenew|LiquidAltSource|LiquidAltFlow|OnConstruct|OnTimer|TimerTrig|TimerAct|AfterPlace|OnPlace
#FOOD
#
#FRUIT
fruit_acorn|Fruit - Acorn|||lib_ecology_fruit_acorn.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||1|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
fruit_apple|Fruit - Apple|||lib_ecology_fruit_apple.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||3|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
fruit_apple_gold|Fruit - Golden Apple|||lib_ecology_fruit_apple_gold.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||20|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
fruit_apple_green|Fruit - Green Apple|||lib_ecology_fruit_apple_green.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||3|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
fruit_banana|Fruit - Banana|||lib_ecology_fruit_banana.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||3|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
fruit_bananas|Fruit - Bananas|||lib_ecology_fruit_bananas.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||6|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
fruit_cedar_cone|Fruit - Cedar Cone|||lib_ecology_fruit_cedar_cone.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||1|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
fruit_cherry|Fruit - Cherry|||lib_ecology_fruit_cherry.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||2|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
fruit_chestnut|Fruit - Chestnut|||lib_ecology_fruit_chestnut.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||1|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
fruit_clementine|Fruit - Clementine|||lib_ecology_fruit_clementine.png||||plantlike|1||light||||FALSE||||||||TRUE|||FALSE||||3|fleshy 3,dig_immediate 3,flammable 2,leafdecay 1,leafdecay_drop 1,lib_ecology_fruit 1|||leaves||||-0.35,-0.5,-0.35,0.35,0.5,0.35||||||||||||||
