13,9,8,270,
gal:stone,gal:stone_brick,gal:stone_block,gal:stone_cobble,gal:stone_cobble_small,gal:stone_rockwall,gal:stone_gravel,gal:glass,gal:tree_default_trunk,gal:tree_default_wood,
##
sssss,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,sssss,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,_____,_____,_____,S2m00,S2S20,S2S20,S2S20,S2m00,
S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,S2m00,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,S2m00,_____,_____,_____,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,S2m00,S2m00,S2m00,S2m00,S2S20,S2S20,S2S20,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
